Class Wise Average Precisions and Detector Recall
==================================================
AP for class background = nan  |  detector_recall = nan
AP for class airplane = 0.1319  |  detector_recall = 0.4160
AP for class antelope = nan  |  detector_recall = nan
AP for class bear = nan  |  detector_recall = nan
AP for class bicycle = 0.5536  |  detector_recall = 0.7124
AP for class bird = 0.7404  |  detector_recall = 0.8418
AP for class bus = 0.7993  |  detector_recall = 0.8777
AP for class car = 0.6259  |  detector_recall = 0.7472
AP for class cattle = 0.8454  |  detector_recall = 0.8848
AP for class dog = 0.7327  |  detector_recall = 0.7863
AP for class domestic cat = 0.8879  |  detector_recall = 0.9441
AP for class elephant = nan  |  detector_recall = nan
AP for class fox = nan  |  detector_recall = nan
AP for class giant panda = nan  |  detector_recall = nan
AP for class giraffe = nan  |  detector_recall = nan
AP for class horse = 0.9409  |  detector_recall = 0.9583
AP for class lion = nan  |  detector_recall = nan
AP for class lizard = nan  |  detector_recall = nan
AP for class monkey = nan  |  detector_recall = nan
AP for class motorcycle = 0.7837  |  detector_recall = 0.9011
AP for class otter = nan  |  detector_recall = nan
AP for class panda = nan  |  detector_recall = nan
AP for class person = nan  |  detector_recall = nan
AP for class potted plant = nan  |  detector_recall = nan
AP for class rabbit = nan  |  detector_recall = nan
AP for class red panda = nan  |  detector_recall = nan
AP for class sheep = 0.7703  |  detector_recall = 0.8550
AP for class snake = nan  |  detector_recall = nan
AP for class squirrel = nan  |  detector_recall = nan
AP for class tiger = nan  |  detector_recall = nan
AP for class train = 0.8274  |  detector_recall = 0.8439
AP for class turtle = nan  |  detector_recall = nan
AP for class whale = nan  |  detector_recall = nan
AP for class zebra = nan  |  detector_recall = nan
==================================================
Mean Average Precision : 0.7200
Mean Detector Recall   : 0.8141
