Class Wise Average Precisions and Detector Recall
==================================================
AP for class background = nan  |  detector_recall = nan
AP for class airplane = 0.0070  |  detector_recall = 0.1112
AP for class antelope = nan  |  detector_recall = nan
AP for class bear = nan  |  detector_recall = nan
AP for class bicycle = 0.0007  |  detector_recall = 0.1129
AP for class bird = 0.0213  |  detector_recall = 0.1924
AP for class bus = 0.0042  |  detector_recall = 0.4102
AP for class car = 0.0429  |  detector_recall = 0.2378
AP for class cattle = 0.0014  |  detector_recall = 0.2486
AP for class dog = 0.0747  |  detector_recall = 0.3598
AP for class domestic cat = 0.2813  |  detector_recall = 0.4011
AP for class elephant = nan  |  detector_recall = nan
AP for class fox = nan  |  detector_recall = nan
AP for class giant panda = nan  |  detector_recall = nan
AP for class giraffe = nan  |  detector_recall = nan
AP for class horse = 0.1421  |  detector_recall = 0.4092
AP for class lion = nan  |  detector_recall = nan
AP for class lizard = nan  |  detector_recall = nan
AP for class monkey = nan  |  detector_recall = nan
AP for class motorcycle = 0.0010  |  detector_recall = 0.1240
AP for class otter = nan  |  detector_recall = nan
AP for class panda = nan  |  detector_recall = nan
AP for class person = nan  |  detector_recall = nan
AP for class potted plant = nan  |  detector_recall = nan
AP for class rabbit = nan  |  detector_recall = nan
AP for class red panda = nan  |  detector_recall = nan
AP for class sheep = 0.0466  |  detector_recall = 0.2775
AP for class snake = nan  |  detector_recall = nan
AP for class squirrel = nan  |  detector_recall = nan
AP for class tiger = nan  |  detector_recall = nan
AP for class train = 0.0370  |  detector_recall = 0.4916
AP for class turtle = nan  |  detector_recall = nan
AP for class whale = nan  |  detector_recall = nan
AP for class zebra = nan  |  detector_recall = nan
==================================================
Mean Average Precision : 0.0550
Mean Detector Recall   : 0.2813
