Class Wise Average Precisions and Detector Recall
==================================================
AP for class background = nan  |  detector_recall = nan
AP for class airplane = 0.9701  |  detector_recall = 0.9771
AP for class antelope = nan  |  detector_recall = nan
AP for class bear = nan  |  detector_recall = nan
AP for class bicycle = 0.9204  |  detector_recall = 0.9421
AP for class bird = 0.9184  |  detector_recall = 0.9368
AP for class bus = 0.9887  |  detector_recall = 0.9953
AP for class car = 0.9687  |  detector_recall = 0.9789
AP for class cattle = 0.9923  |  detector_recall = 0.9943
AP for class dog = 0.9839  |  detector_recall = 0.9882
AP for class domestic cat = 0.9934  |  detector_recall = 0.9940
AP for class elephant = nan  |  detector_recall = nan
AP for class fox = nan  |  detector_recall = nan
AP for class giant panda = nan  |  detector_recall = nan
AP for class giraffe = nan  |  detector_recall = nan
AP for class horse = 0.9949  |  detector_recall = 0.9950
AP for class lion = nan  |  detector_recall = nan
AP for class lizard = nan  |  detector_recall = nan
AP for class monkey = nan  |  detector_recall = nan
AP for class motorcycle = 0.9643  |  detector_recall = 0.9711
AP for class otter = nan  |  detector_recall = nan
AP for class panda = nan  |  detector_recall = nan
AP for class person = nan  |  detector_recall = nan
AP for class potted plant = nan  |  detector_recall = nan
AP for class rabbit = nan  |  detector_recall = nan
AP for class red panda = nan  |  detector_recall = nan
AP for class sheep = 1.0000  |  detector_recall = 1.0000
AP for class snake = nan  |  detector_recall = nan
AP for class squirrel = nan  |  detector_recall = nan
AP for class tiger = nan  |  detector_recall = nan
AP for class train = 0.9831  |  detector_recall = 0.9867
AP for class turtle = nan  |  detector_recall = nan
AP for class whale = nan  |  detector_recall = nan
AP for class zebra = nan  |  detector_recall = nan
==================================================
Mean Average Precision : 0.9732
Mean Detector Recall   : 0.9799
