crop_px,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
0,nan,0.025248351675869765,0.016071509818392934,0.008388705567136778,0.009567335523360976,0.0023313350526017788,0.015579509937002117,0.01903034715505742,0.053732258161982405,0.0013123545196410376,0.013030564111506047,0.0270218471594428,0.03069735701297715,0.009246084701040849,0.02296504890991808,0.014945851889964955,0.004964075938759507,0.0024341456271015946,0.010042698653662441,0.034955411287283536,0.0021745868176754985,0.016186968976018883
10,nan,0.04043206402870315,0.03662440538349203,0.032652109248618416,0.024207558955687197,0.012926193544167434,0.05752351228531443,0.06817509445260009,0.13769070848471573,0.0025437363894346694,0.02566098589285221,0.046616531926135185,0.09741888033875387,0.0317647326716086,0.044143002666664634,0.030294194278141895,0.010131249761556804,0.007195928657611989,0.03211605754172758,0.11533567228887733,0.012751571884976281,0.04331020953408197
20,nan,0.07126338123761268,0.079258323921579,0.06697043405571418,0.053092700624354124,0.010334880248277247,0.13465930164564222,0.1195877744641165,0.21023237767316993,0.0049200375622579584,0.06402217489957297,0.07735831556336066,0.1905266727480585,0.07050844094091473,0.09992820572633537,0.05615967619562655,0.021847186665607147,0.01732453682276641,0.06090454299966776,0.17101735385932887,0.013735011102499787,0.07968256644782312
30,nan,0.10621926783068317,0.11293516947360023,0.11749844687410368,0.08421368455277262,0.022390722444393503,0.20157832738840695,0.14918905434110344,0.2691123739693717,0.010264385290202734,0.09428221044873389,0.09119554385085848,0.23846934629135974,0.08504010419166692,0.14238409516178788,0.08219406660615536,0.039955512204464264,0.022446068237628448,0.0907453727822244,0.241599756291581,0.024784233353158484,0.11132488707921284
40,nan,0.21661973689526942,0.1431254912630623,0.16120850812773924,0.10813831170996123,0.0350660861826651,0.2501973484412488,0.20291612155542427,0.3653325996263368,0.013967041737984222,0.10931245274665691,0.13479735754940217,0.30839535022410614,0.15368136183734263,0.2079294337960938,0.11251381661653573,0.05102417978948988,0.02757520775406078,0.1422156935775067,0.32028078088349177,0.033500918273329634,0.15488988992938535
50,nan,0.31985523461809495,0.17587461029125576,0.19712902723779047,0.14959694906663146,0.03580998723374045,0.37023768996671735,0.24113093656029927,0.4547293875927492,0.020312887072244486,0.1344084733299049,0.1690746763457276,0.38113826264777806,0.2659141903021772,0.2609117649124831,0.14587198510821245,0.0698436117189879,0.05994951655207353,0.19345152492986367,0.38698804180021357,0.042699053302985845,0.20374639052949656
60,nan,0.37386166694782297,0.20782616981768703,0.2274503629132671,0.1938467389341898,0.058907716784653195,0.37212068579536606,0.28752998862850326,0.5292645913812267,0.03347895674274311,0.15443298564215577,0.1917463964543248,0.4297449976751554,0.3068480955515259,0.31581060035737774,0.1822463903957149,0.08017839290495347,0.08144438220738297,0.20463017758546687,0.4373801639729301,0.10317224020701338,0.23859608504497304
70,nan,0.38713746478645605,0.2429741041259057,0.33052850271030204,0.21462159393275876,0.06559552287781911,0.3933202974811728,0.31799720913658336,0.5825286666868228,0.04400793703506166,0.20451552327386982,0.23930261829369268,0.4985047066818422,0.38479910656342164,0.3705925562852853,0.21693693706810685,0.1038045752336704,0.13339277052293752,0.29618156032912657,0.48641871502649936,0.1589689588875204,0.2836064663469428
80,nan,0.44315153577778066,0.30734398390565154,0.37280788794366415,0.2892804274531659,0.06826720538714798,0.4660858209981739,0.3790404974805087,0.6593295619319977,0.06831458822378139,0.22688715407645235,0.26284550010444807,0.565504064303999,0.46239369201857367,0.3971462915672618,0.2595624179939239,0.11815977749073689,0.16009322139276483,0.337366767438672,0.5365254146129645,0.22301833259782328,0.3301562071349746
90,nan,0.47450850011254037,0.36071018594396653,0.4490918530582969,0.3609415135948354,0.08506213333176023,0.4804005620241997,0.4148693352116736,0.6890293582023428,0.10924065392580998,0.3142025158061012,0.2825530173591183,0.6037621443701366,0.5037655401272276,0.4342890076218048,0.31155236972294587,0.15417772227528567,0.2722109415361868,0.3707202669566042,0.5565800725388782,0.30984958736158774,0.37687586405406515
